         45300 function calls (42300 primitive calls) in 3.267 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       42    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       15    0.000    0.000    0.000    0.000 encoder.py:259(_make_iterencode)
       15    0.000    0.000    0.000    0.000 encoder.py:104(__init__)
      237    0.000    0.000    0.000    0.000 codecs.py:214(setstate)
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x7fe010f21830}
        3    0.000    0.000    0.000    0.000 server.py:499(lumiere)
        4    0.000    0.000    0.000    0.000 random.py:264(shuffle)
       63    0.000    0.000    0.000    0.000 server.py:569(<listcomp>)
       33    0.000    0.000    0.000    0.000 random.py:224(_randbelow)
      207    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        9    0.000    0.000    0.000    0.000 server.py:558(<listcomp>)
       10    0.000    0.000    0.000    0.000 server.py:405(<setcomp>)
       30    0.000    0.000    0.000    0.000 server.py:500(<setcomp>)
       84    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
       33    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        1    0.000    0.000    3.267    3.267 server.py:531(lancer)
        1    0.000    0.000    0.000    0.000 socket.py:412(_real_close)
       12    0.000    0.000    0.000    0.000 server.py:177(<listcomp>)
       42    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
        3    0.000    0.000    0.000    0.000 server.py:500(<listcomp>)
        1    0.000    0.000    0.000    0.000 server.py:448(<setcomp>)
        2    0.000    0.000    0.000    0.000 server.py:309(<listcomp>)
        3    0.000    0.000    0.000    0.000 {method 'copy' of 'set' objects}
        4    0.000    0.000    0.000    0.000 server.py:537(<listcomp>)
        3    0.000    0.000    0.000    0.000 random.py:174(randrange)
        8    0.000    0.000    0.000    0.000 server.py:121(__init__)
        1    0.000    0.000    0.000    0.000 server.py:473(<listcomp>)
        3    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 socket.py:416(close)
        1    0.000    0.000    0.000    0.000 __init__.py:212(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:221(_releaseLock)
        8    0.000    0.000    0.000    0.000 server.py:241(<setcomp>)
        1    0.000    0.000    0.000    0.000 server.py:319(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1600(getEffectiveLevel)
        1    0.000    0.000    0.000    0.000 server.py:324(<listcomp>)
        1    0.000    0.000    0.000    0.000 server.py:471(<listcomp>)
        2    0.000    0.000    0.000    0.000 server.py:352(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
        3    0.000    0.000    0.000    0.000 server.py:516(<listcomp>)
        1    0.000    0.000    0.000    0.000 server.py:452(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 server.py:475(<listcomp>)


